address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,commissions,totalToken
akashvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfkkw8gz,Cosmostation,0.05,1,8615249,0.082497,1.77E+12,akashvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfkkw8gz,5812,5962,5873,0.97445939,28,104419402
akashvaloper1qvsus5qg8yhre7k2c78xkkw4nvqqgev7zw5wzs,kavalabs,0.05,2,7613246,0.072902,1.77E+12,akashvaloper1qvsus5qg8yhre7k2c78xkkw4nvqqgev7zw5wzs,5811,5963,5870,0.974105622,28,
akashvaloper14kn0kk33szpwus9nh8n87fjel8djx0y0uzn073,Forbole,0.05,3,5761145,0.055167,1.77E+12,akashvaloper14kn0kk33szpwus9nh8n87fjel8djx0y0uzn073,5808,5957,5863,0.974586389,28,
akashvaloper1ysywap8nllx5fn9had5qhywktnweuquvl4h85t,16psyche,0.05,4,5235673,0.050135,1.77E+12,akashvaloper1ysywap8nllx5fn9had5qhywktnweuquvl4h85t,5808,5946,5860,0.976450512,28,
akashvaloper1lxh0u07haj646pt9e0l2l4qc3d8htfx5kk698d,Chandra Station,0.05,5,5116921,0.048998,1.77E+12,akashvaloper1lxh0u07haj646pt9e0l2l4qc3d8htfx5kk698d,5808,5936,5860,0.978156997,28,
akashvaloper196yqn478czwsumlrfdxz4vphmy6wwz0c6nz0ae,Nocturnal Labs,0.1,6,4605616,0.044102,1.77E+12,akashvaloper196yqn478czwsumlrfdxz4vphmy6wwz0c6nz0ae,5818,5960,5873,0.975821556,2,
akashvaloper1hme3yu8c93jnhv74mcht7agwe5thp8qpgaqffj,Jormungand 0y,0.05,7,4340264,0.041561,1.77E+12,akashvaloper1hme3yu8c93jnhv74mcht7agwe5thp8qpgaqffj,5814,5959,5873,0.975310744,28,
akashvaloper16pj5gljqnqs0ajxakccfjhu05yczp987ptmjx9,Chorus One,0.075,8,4085158,0.039118,1.77E+12,akashvaloper16pj5gljqnqs0ajxakccfjhu05yczp987ptmjx9,5808,5943.5,5863,0.976888965,27,
akashvaloper1xgnd8aach3vawsl38snpydkng2nv8a4kqgs8hf,ECO Stake REStakeapp,0.05,9,3359940,0.032174,1.77E+12,akashvaloper1xgnd8aach3vawsl38snpydkng2nv8a4kqgs8hf,5812,5958,5870,0.975127768,28,
akashvaloper14mt78hz73d9tdwpdvkd59ne9509kxw8yj7qy8f,Cloudmos,0.05,10,2764674,0.026474,1.77E+12,akashvaloper14mt78hz73d9tdwpdvkd59ne9509kxw8yj7qy8f,5811,5960,5868,0.974608044,28,
akashvaloper1q07u5g9s5cy5d3tj923v0nt870x073elpuqwg2,stakezone,0.05,11,2498886,0.023928,1.77E+12,akashvaloper1q07u5g9s5cy5d3tj923v0nt870x073elpuqwg2,5809,5945,5863,0.976803684,28,
akashvaloper1rwf9jukr8z0w0s9tqr7pyd23j8645whuqy3twe,Sikka,0.05,12,2493083,0.023873,1.77E+12,akashvaloper1rwf9jukr8z0w0s9tqr7pyd23j8645whuqy3twe,5809,5949,5865,0.976129582,28,
akashvaloper1a4zxtnu9k0zpl6p5hmduc5zz7xrm2dz8vm2ey8,Citadelone,0.05,13,2349578,0.022499,1.77E+12,akashvaloper1a4zxtnu9k0zpl6p5hmduc5zz7xrm2dz8vm2ey8,5811,5960,5870,0.974616695,28,
