address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,commissions,totalToken
atonevaloper144xwxcrlntp4wjadhrylzc6p3vdzscyey6a5r0,DKCMC,0.05,1,3635470,0.069902,1.77E+12,atonevaloper144xwxcrlntp4wjadhrylzc6p3vdzscyey6a5r0,5761,5861,5803,0.982767534,44,52006448
atonevaloper1wez3ehdwxfygeeu2lj44swcdpds08t3pgnlwc8,Cosmostation,0.05,2,3097548,0.059559,1.77E+12,atonevaloper1wez3ehdwxfygeeu2lj44swcdpds08t3pgnlwc8,5753,5857,5798,0.98206278,44,
atonevaloper1g5n4lanhsvpkcld9lyk7pxyvunsmdh9s9yq3vh,SG1,0.05,3,3088087,0.059377,1.77E+12,atonevaloper1g5n4lanhsvpkcld9lyk7pxyvunsmdh9s9yq3vh,5754,5859,5798,0.981890307,44,
atonevaloper17gysx6p6ggvjfgntpv0vsje3xkqc8ddmlnmxwd,Allnodes,0.05,4,2950675,0.056735,1.77E+12,atonevaloper17gysx6p6ggvjfgntpv0vsje3xkqc8ddmlnmxwd,5751,5841,5792,0.984461326,44,
atonevaloper1u2mpntxfkq3ztj5aygmuv5dhmg6rghjkh3356j,nyliranet,0.05,5,2862011,0.05503,1.77E+12,atonevaloper1u2mpntxfkq3ztj5aygmuv5dhmg6rghjkh3356j,5752,5856,5794,0.982050397,44,
atonevaloper15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l269dvfs,DragonStake ,0.05,6,2679852,0.051528,1.77E+12,atonevaloper15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l269dvfs,5752,5850,5793,0.983083031,44,
atonevaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4nq63k9,0basevc,0.05,7,2084593,0.040082,1.77E+12,atonevaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4nq63k9,5755,5845,5795,0.98446937,44,
atonevaloper1z89utvygweg5l56fsk8ak7t6hh88fd0achx5eg,Inotel,0.05,8,2012272,0.038692,1.77E+12,atonevaloper1z89utvygweg5l56fsk8ak7t6hh88fd0achx5eg,5754,5854,5798,0.982752673,44,
atonevaloper1wvt5zugk97mrl5rm9c3m573f9gj03w2gd7yqyl,CloudByte,0.05,9,1828739,0.035163,1.77E+12,atonevaloper1wvt5zugk97mrl5rm9c3m573f9gj03w2gd7yqyl,5757,5858,5800,0.982586207,44,
atonevaloper1xgkqle5jzfd3lymrttg8edwux2yz8z0rvxqsdd,Simply Staking,0.05,10,1775093,0.034131,1.77E+12,atonevaloper1xgkqle5jzfd3lymrttg8edwux2yz8z0rvxqsdd,5758,5859,5801,0.982589209,44,
atonevaloper1wlagucxdxvsmvj6330864x8q3vxz4x022j0qq0,DSRV,0.1,11,1653413,0.031792,1.77E+12,atonevaloper1wlagucxdxvsmvj6330864x8q3vxz4x022j0qq0,5754,5851,5796,0.98326432,1,
atonevaloper1g48268mu5vfp4wk7dk89r0wdrakm9p5xlxr0l9,Provalidator,0.05,12,1578624,0.030354,1.77E+12,atonevaloper1g48268mu5vfp4wk7dk89r0wdrakm9p5xlxr0l9,5755,5851,5796,0.983436853,44,
atonevaloper1w8cs54tjx5yc9hzp0e2pfmde905pr670hglth4,KalpaTech,0.05,13,1461223,0.028096,1.77E+12,atonevaloper1w8cs54tjx5yc9hzp0e2pfmde905pr670hglth4,5759,5858,5800,0.982931034,44,
atonevaloper1ysvhj4h3z6szgwauuhvytxks9k6s6ktutnjfpv,Forbole,0.05,14,1349181,0.025942,1.77E+12,atonevaloper1ysvhj4h3z6szgwauuhvytxks9k6s6ktutnjfpv,5756,5859,5800,0.982241379,44,
atonevaloper10jzj3jjd3frna0ay08sh4zu4fpy957s4vm4dwg,Onbloc Node,0.05,15,1223084,0.023517,1.77E+12,atonevaloper10jzj3jjd3frna0ay08sh4zu4fpy957s4vm4dwg,5755,5856,5799,0.982583204,44,
atonevaloper1vcp7pkg8sk0n8ylhezxxs8qqrnwfld4dsv2sew,POSTHUMAN  StakeDrop,0.05,16,1039401,0.019985,1.77E+12,atonevaloper1vcp7pkg8sk0n8ylhezxxs8qqrnwfld4dsv2sew,5755,5849,5796,0.983781919,44,
atonevaloper1d3hahjfnr6579rpt7fkste4jaj6ne0jvqttj05,Nodes Hub  100 Slash Protected ,0.05,17,935015,0.017978,1.77E+12,atonevaloper1d3hahjfnr6579rpt7fkste4jaj6ne0jvqttj05,5758,5858,5800,0.982758621,44,
atonevaloper1zrp3cnmqg7rlr7n4mc3cfl4khn5p9a2frykp2c,PRO Delegators,0.05,18,576539,0.011086,1.77E+12,atonevaloper1zrp3cnmqg7rlr7n4mc3cfl4khn5p9a2frykp2c,5756,5858,5798,0.982407727,44,
atonevaloper1v6pes3zvpu926pep0l636wwda357uc20t0x5vd,ECO Stake   REStakeapp,0.05,19,565706,0.010877,1.77E+12,atonevaloper1v6pes3zvpu926pep0l636wwda357uc20t0x5vd,5754,5857,5797,0.982232189,44,
atonevaloper1g85n0rvyfrmp9kz0s29mx3v5gcf4as2aew22k7,Crypto Plant,0.05,20,439504,0.008451,1.77E+12,atonevaloper1g85n0rvyfrmp9kz0s29mx3v5gcf4as2aew22k7,5752,5855,5795,0.982226057,44,
atonevaloper1fvpj4kfk49s6her9fmak4dykz447vlx3uuj9hw, Silk Nodes,0.05,21,437881,0.00842,1.77E+12,atonevaloper1fvpj4kfk49s6her9fmak4dykz447vlx3uuj9hw,5752,5853,5796,0.982574189,44,
atonevaloper1re7e8n5arf7c69mr75fqp2v5lcl0ftrr56uxkm,Kleomedes,0.05,22,394912,0.007593,1.77E+12,atonevaloper1re7e8n5arf7c69mr75fqp2v5lcl0ftrr56uxkm,5754,5856,5797,0.982404692,44,
atonevaloper1q6d3d089hg59x6gcx92uumx70s5y5wadlklzhr,Ubik Capital,0.05,23,378439,0.007277,1.77E+12,atonevaloper1q6d3d089hg59x6gcx92uumx70s5y5wadlklzhr,5754,5859,5797,0.981887183,44,
atonevaloper1qlhx2zev88jsy6ghsluf7frfxrutkkf3dm29hf,Crosnest,0.05,24,378220,0.007272,1.77E+12,atonevaloper1qlhx2zev88jsy6ghsluf7frfxrutkkf3dm29hf,5756,5858,5800,0.982413793,44,
atonevaloper1lktjhnzkpkz3ehrg8psvmwhafg56kfsscfjshg,Umbrella ,0.05,25,377319,0.007255,1.77E+12,atonevaloper1lktjhnzkpkz3ehrg8psvmwhafg56kfsscfjshg,5751,5852,5795,0.982571182,44,
atonevaloper10unx6s0cdqntvrumd5hs07rgd5ytcztq7w6s7f,GATA HUB,0.05,26,374544,0.007202,1.77E+12,atonevaloper10unx6s0cdqntvrumd5hs07rgd5ytcztq7w6s7f,5754,5858,5798,0.98206278,44,
atonevaloper14m0n559xdj00qwvp6ck0xesprrq26kgpufexgk,Oneiric Stake,0.05,27,359144,0.006906,1.77E+12,atonevaloper14m0n559xdj00qwvp6ck0xesprrq26kgpufexgk,5752,5851,5795,0.982916307,44,
atonevaloper1603r7hdvmntnh67rr6gnf3myg5sj0020rdm774,Chiter in Cosmos ,0.05,28,356281,0.006851,1.77E+12,atonevaloper1603r7hdvmntnh67rr6gnf3myg5sj0020rdm774,5752,5852.5,5795,0.982657463,44,
atonevaloper174tvh2dty7vsvwn2cfsmkwq8tplqgr5f7rsyuj,Regenerator  Green Validator ,0.05,29,347709,0.006686,1.77E+12,atonevaloper174tvh2dty7vsvwn2cfsmkwq8tplqgr5f7rsyuj,5753,5856,5796,0.982229124,44,
atonevaloper14ddv0apf90h6u46zy4e6msct9hx04nte0zcyfe,Cogwheel ,0.05,30,327810,0.006303,1.77E+12,atonevaloper14ddv0apf90h6u46zy4e6msct9hx04nte0zcyfe,5751,5854,5794,0.982222989,44,
atonevaloper1h7xtcxsh356vfcygglrcn67c8jk47mkx40mdda,NyanCat,0.05,31,317720,0.006109,1.77E+12,atonevaloper1h7xtcxsh356vfcygglrcn67c8jk47mkx40mdda,5753,5856,5796,0.982229124,44,
atonevaloper1gpqlu4ml3hqkfqf3vyrvj8040c6jdrt0l8eg34,StakeLabzone,0.05,32,297368,0.005718,1.77E+12,atonevaloper1gpqlu4ml3hqkfqf3vyrvj8040c6jdrt0l8eg34,5755,5857,5798,0.982407727,44,
atonevaloper1342p4lqh94s8qrk48vz2x6nlh3p2hqx4autnd9,AVIAONEcom ,0.05,33,283720,0.005455,1.77E+12,atonevaloper1342p4lqh94s8qrk48vz2x6nlh3p2hqx4autnd9,5750,5854,5795,0.982053494,44,
atonevaloper1ngchl63yr5ew7ua7y72z4p80s32u6g9u09vguf,Inter Blockchain Services,0.05,34,274556,0.005279,1.77E+12,atonevaloper1ngchl63yr5ew7ua7y72z4p80s32u6g9u09vguf,5751,5853,5794,0.982395582,44,
