moniker,ABSTAIN,NO,NO_VOTE,NO_WITH_VETO,YES,votingPower,pca_x,pca_y,cluster
01node,0.2,0,0,0,0.8,0.001653,2.592981863,-0.443235158,1
0basevc,0.066666667,0.133333333,0,0,0.8,0.001713,3.502710903,0.016541818,1
Alessandro Mazza,0,0,1,0,0,0.000554,-1.15110268,-0.02689387,0
Allnodes,0.1,0.1,0.066666667,0,0.733333333,0.024617,3.057088659,-0.105375732,1
Astrovault,0,0,1,0,0,0.000018,-1.15110268,-0.02689387,0
Atlas Staking Autocompound rewards with REStake,0.033333333,0.033333333,0.4,0,0.533333333,0.000367,1.197117699,-0.022836829,1
Atomic power node,0.033333333,0,0.966666667,0,0,0.00004,-0.963468558,-0.110230697,0
BHarvest,0.066666667,0.1,0.066666667,0,0.766666667,0.000298,2.97854953,-0.018552251,1
BackBone Labs Delegate for SOUL Claim Drop,0,0.066666667,0.166666667,0,0.766666667,0.000202,2.188214905,0.116513987,1
BigBrainStaking,0.033333333,0,0.366666667,0,0.6,0.000642,1.000241302,-0.047470939,1
Binance Node,0,0,1,0,0,0.026935,-1.15110268,-0.02689387,0
Binance Staking,0,0,1,0,0,0.007474,-1.15110268,-0.02689387,0
Binary Builders,0.066666667,0,0.433333333,0,0.5,0.002146,0.860590447,-0.141267727,1
BitValidator,0,0,1,0,0,0.00029,-1.15110268,-0.02689387,0
BlockHunters,0.033333333,0,0.666666667,0,0.3,0.003426,0.018386372,-0.078850818,0
BlockPI,0.066666667,0,0.7,0,0.233333333,0.000002,-0.012169491,-0.169160952,0
Blockdaemon,0.133333333,0,0.466666667,0,0.4,0.019217,0.908573713,-0.318401341,1
Blockpower,0,0,1,0,0,0.001028,-1.15110268,-0.02689387,0
Blocks United blocksunitedcom,0,0.033333333,0.433333333,0,0.533333333,0.000941,1.009483577,0.060499998,1
BouBouNode,0,0,1,0,0,0.008703,-1.15110268,-0.02689387,0
BronBro 100 Slashprotected,0.033333333,0,0.266666667,0,0.7,0.001206,1.327526279,-0.03701098,1
Bunkerstakeio,0.233333333,0.2,0,0,0.566666667,0.002068,4.507349329,-0.36133406,1
