address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,commissions,totalToken,,
cosmosvaloper1x8efhljzvs52u5xa6m7crcwes7v9u0nlwdgw30,Upbit Staking,1,2,17045491,0.061382,1.77E+12,cosmosvaloper1jst8q8flpn94u9uvkpae8mrkk3a5pjhxx529z2,5970,6137,6045,0.972373863,1,277702805,,
cosmosvaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4epsluffn,Cosmostation,0.05,3,13245444,0.047698,1.77E+12,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,5977,6136,6049,0.973714664,73,,,
cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,Everstake,0.08,4,11028442,0.039714,1.77E+12,cosmosvaloper106yp7zw35wftheyyv9f9pe69t8rteumjrx52jg,5974,6138,6048,0.972883598,54,,,
cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,Kraken01,0.1,5,10014727,0.036064,1.77E+12,cosmosvaloper10sjr8xv2yr83agmzw7acf6xxqrw8e3q6wvh5ne,5807,6016,5885,0.964485981,11,,,
cosmosvaloper14lultfckehtszvzw4ehu0apvsr77afvyju5zzy,DokiaCapital,0.15,6,8634036,0.031092,1.77E+12,cosmosvaloper1x8efhljzvs52u5xa6m7crcwes7v9u0nlwdgw30,5971,6111,6041,0.976825029,9,,,
cosmosvaloper15gyzcp2kas2yntv9k3p0zm4k8y6e89ecmkeqee,Kiln,0.08,7,8599495,0.030968,1.77E+12,cosmosvaloper1gqem6t55xrjc8nqf7y8jyp9xzgnm60zu007nrl,5966,6139.5,6043,0.971289095,54,,,
cosmosvaloper10wljxpl03053h9690apmyeakly3ylhejrucvtm,Ledger by Chorus One,0.075,8,8319407,0.029959,1.77E+12,cosmosvaloper1g48268mu5vfp4wk7dk89r0wdrakm9p5xk0q50k,5974,6142,6048,0.972222222,63,,,
cosmosvaloper18ruzecmqj9pv8ac0gvkgryuc7u004te9rh7w5s,Binance Node,0.05,9,7480276,0.026937,1.77E+12,cosmosvaloper1jlr62guqwrwkdt4m3y00zh2rrsamhjf9num5xr,5972,6130,6047,0.973871341,73,,,
cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,SG1,0.05,10,6785881,0.024437,1.77E+12,cosmosvaloper15gyzcp2kas2yntv9k3p0zm4k8y6e89ecmkeqee,5970,6146,6050,0.970909091,73,,,
cosmosvaloper1n229vhepft6wnkt5tjpwmxdmcnfz55jv3vp77d,Allnodes,0.05,11,6672006,0.024027,1.77E+12,cosmosvaloper1wvt5zugk97mrl5rm9c3m573f9gj03w2gyh8m5v,5974,6136,6048,0.973214286,73,,,
