moniker_clean,ABSTAIN,NO,NO_VOTE,NO_WITH_VETO,WEIGHTED_VOTE,YES,votingPower,validatorAddress,pca_x,pca_y,cluster
Electron,0,0.03125,0.625,0.03125,0,0.3125,0.132504,"['crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v', 'crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v']",1.641521144,-0.891263161,1
Antares,0,0.03125,0.625,0.03125,0,0.3125,0.087304,"['crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4', 'crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4']",1.641521144,-0.891263161,1
The Gatekeeper,0.08,0,0.76,0,0,0.16,0.069862,"['crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp', 'crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp']",0.608847591,2.476895198,2
Epsilon,0.04,0,0.8,0,0,0.16,0.070405,"['crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk', 'crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk']",0.11564744,1.051947123,0
Eternals,0.04,0,0.8,0,0,0.16,0.069674,"['crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj', 'crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj']",0.11564744,1.051947123,0
Guru Node,0.083333333,0,0.791666667,0,0,0.125,0.069825,"['crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl', 'crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl']",0.418828977,2.678636342,2
Galactic Guardians,0.04,0,0.8,0,0,0.16,0.069799,"['crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl', 'crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl']",0.11564744,1.051947123,0
Minotaur IV,0,0.03125,0.625,0.03125,0,0.3125,0.065273,"['crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r', 'crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r']",1.641521144,-0.891263161,1
New Shepard,0,0.03030303,0.666666667,0.03030303,0,0.272727273,0.061996,"['crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw', 'crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw']",1.348217948,-0.792203488,1
Falcon Heavy,0,0.03030303,0.636363636,0.03030303,0,0.303030303,0.04666,"['crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam', 'crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam']",1.548320655,-0.864061038,1
