address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,commissions,totalToken
crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v,Electron,0.1,1,1523382908,0.13018,1.77E+12,crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v,5319,5408,5344,0.983345808,3,11701806859
crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4,Antares,0.1,2,1005914277,0.08596,1.77E+12,crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4,5319,5406,5345,0.983723106,3,
crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp,The Gatekeeper,0.1,3,814964640,0.069642,1.77E+12,crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp,5319,5405,5345,0.983910196,3,
crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk,Epsilon,0.1,4,814896744,0.069636,1.77E+12,crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk,5319,5406,5345,0.983723106,3,
crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj,Eternals,0.1,5,813385873,0.069507,1.77E+12,crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj,5319,5406,5346,0.98372615,3,
crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl,Guru Node,0.1,6,812724481,0.069451,1.77E+12,crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl,5319,5406,5346,0.98372615,3,
crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl,Galactic Guardians,0.1,7,812605191,0.069441,1.77E+12,crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl,5319,5406,5346,0.98372615,3,
crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r,Minotaur IV,0.1,8,750421975,0.064127,1.77E+12,crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r,5319,5406,5346,0.98372615,3,
crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw,New Shepard,0.1,9,747321023,0.063862,1.77E+12,crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw,5319,5405,5346,0.983913206,3,
crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam,Falcon Heavy,0.1,10,536452681,0.045842,1.77E+12,crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam,5319,5406,5347,0.983729194,3,
crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv,Starship,0.1,11,514456159,0.043962,1.77E+12,crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv,5319,5405,5347,0.983916215,3,
