address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,totalToken
osmovaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep88n0y4,Cosmostation,0.05,1,19728114,0.074119,1.76E+12,osmovaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep88n0y4,991,1123,1044,0.873563218,266163465
osmovaloper1z89utvygweg5l56fsk8ak7t6hh88fd0axx2fya,Inotel,0.05,2,12818372,0.048159,1.76E+12,osmovaloper1z89utvygweg5l56fsk8ak7t6hh88fd0axx2fya,990,1112,1042,0.882917466,
osmovaloper130r77dtdgz3yjyyskhrr3j2c90aqezugkhr3rs,Keplr,0.05,3,11079808,0.041627,1.76E+12,osmovaloper130r77dtdgz3yjyyskhrr3j2c90aqezugkhr3rs,983,1094,1033,0.892545983,
osmovaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv5qgdz9,Nansen  Stake to Stack Points,0.05,4,8618442,0.03238,1.76E+12,osmovaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv5qgdz9,988,1111,1039,0.881616939,
osmovaloper10w06wvmdd4xn7hr76gzrv570f7q5uweem5jcd7,TheCybernetics,0.05,5,8586705,0.03226,1.76E+12,osmovaloper10w06wvmdd4xn7hr76gzrv570f7q5uweem5jcd7,986,1111,1039,0.879692012,
osmovaloper1e20nfplac6cp5mga25a3ujvcgly3mfu73e6scn,Mendel,0.05,6,7466316,0.028051,1.76E+12,osmovaloper1e20nfplac6cp5mga25a3ujvcgly3mfu73e6scn,989,1114,1041,0.879923151,
osmovaloper12rzd5qr2wmpseypvkjl0spusts0eruw2g35lkn,Stakecito,0.05,7,6482114,0.024353,1.76E+12,osmovaloper12rzd5qr2wmpseypvkjl0spusts0eruw2g35lkn,987,1111,1039,0.880654475,
osmovaloper1h2c47vd943scjlfum6yc5frvu2l279lwjep5d6,CryptoCrew Validators ,0.05,8,5849947,0.021978,1.76E+12,osmovaloper1h2c47vd943scjlfum6yc5frvu2l279lwjep5d6,991,1114,1043,0.882070949,
osmovaloper1u5v0m74mql5nzfx2yh43s2tke4mvzghr6m2n5t,ECO Stake   REStakeapp,0.05,9,5818852,0.021862,1.76E+12,osmovaloper1u5v0m74mql5nzfx2yh43s2tke4mvzghr6m2n5t,982,1109,1036,0.877413127,
osmovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4phpkatp,polkachucom,0.05,10,5463786,0.020528,1.76E+12,osmovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4phpkatp,997,1114,1045,0.888038278,
osmovaloper17cp6fxccqxrpj4zc00w2c7u6y0umc2jajsyc5t,Ledger by Figment,0.05,11,5406983,0.020314,1.76E+12,osmovaloper17cp6fxccqxrpj4zc00w2c7u6y0umc2jajsyc5t,992,1113,1043,0.883988495,
osmovaloper15czt5nhlnvayqq37xun9s9yus0d6y26d5jws45,Binary Builders,0.05,12,5369554,0.020174,1.76E+12,osmovaloper15czt5nhlnvayqq37xun9s9yus0d6y26d5jws45,991,1115,1043,0.881112176,
osmovaloper14n8pf9uxhuyxqnqryvjdr8g68na98wn5amq3e5,PRYZM  StakeDrop,0.2,13,5325204,0.020007,1.76E+12,osmovaloper14n8pf9uxhuyxqnqryvjdr8g68na98wn5amq3e5,994,1110,1043,0.888782359,
osmovaloper15urq2dtp9qce4fyc85m6upwm9xul3049wh9czc,Chorus One,0.05,14,5237647,0.019678,1.76E+12,osmovaloper15urq2dtp9qce4fyc85m6upwm9xul3049wh9czc,995,1115,1045,0.885167464,
osmovaloper146mj09yzu3mvz7pmy4dvs4z9wr2mst7rq8p8gy,Interop,0.08,15,4837384,0.018174,1.76E+12,osmovaloper146mj09yzu3mvz7pmy4dvs4z9wr2mst7rq8p8gy,1044,1150,1080,0.901851852,
osmovaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpf6t4agt,Figment,0.05,16,4757317,0.017873,1.76E+12,osmovaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpf6t4agt,991,1113,1042,0.882917466,
osmovaloper1u6jr0pztvsjpvx77rfzmtw49xwzu9kas05lk04,Crosnest,0.05,17,4431558,0.016649,1.76E+12,osmovaloper1u6jr0pztvsjpvx77rfzmtw49xwzu9kas05lk04,982,1108,1035,0.87826087,
osmovaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxwmj9we,Citadelone,0.05,18,4221735,0.015861,1.76E+12,osmovaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxwmj9we,980,1104,1033,0.879961278,
osmovaloper1xvl4vrlh3epl7desfnqydt4tvexl380ue86syc,Mad Scientists,0.05,19,4099859,0.015403,1.76E+12,osmovaloper1xvl4vrlh3epl7desfnqydt4tvexl380ue86syc,988,1111,1039,0.881616939,
osmovaloper1glmy88g0uf6vmw29pyxu3yq0pxpjqtzqr5e57n, LavenderFive Nodes ,0.05,20,4080695,0.015331,1.76E+12,osmovaloper1glmy88g0uf6vmw29pyxu3yq0pxpjqtzqr5e57n,988,1113,1041,0.879923151,
osmovaloper1e9ucjn5fjmetky5wezzcsccp7hqcwzrrdulz7n,Allnodes,0.05,21,4069717,0.01529,1.76E+12,osmovaloper1e9ucjn5fjmetky5wezzcsccp7hqcwzrrdulz7n,992,1110,1041,0.886647454,
osmovaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5s833swz,Informal Systems,0.05,22,4064114,0.015269,1.76E+12,osmovaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5s833swz,1002,1110,1047,0.896848138,
osmovaloper1wlagucxdxvsmvj6330864x8q3vxz4x025rraa6,DSRV,0.1,23,3801144,0.014281,1.76E+12,osmovaloper1wlagucxdxvsmvj6330864x8q3vxz4x025rraa6,982,1109,1037,0.87753134,
osmovaloper1l7hln0l79erqaw6jdfdwx0hkfmj3dp27gr77ja,Smart Stake ,0.05,24,3670009,0.013788,1.76E+12,osmovaloper1l7hln0l79erqaw6jdfdwx0hkfmj3dp27gr77ja,982,1111,1037,0.8756027,
osmovaloper1cyw4vw20el8e7ez8080md0r8psg25n0cq98a9n,Sentinel dVPN,0.05,25,3571974,0.01342,1.76E+12,osmovaloper1cyw4vw20el8e7ez8080md0r8psg25n0cq98a9n,990,1112,1040,0.882692308,
osmovaloper12zwq8pcmmgwsl95rueqsf65avfg5zcj047ucw6,OmniFlix Network,0.05,26,3538088,0.013293,1.76E+12,osmovaloper12zwq8pcmmgwsl95rueqsf65avfg5zcj047ucw6,985,1104,1038,0.885356455,
osmovaloper16n0t7lmy4wnhjytzkncjdkxrsu9yfjm3ex7hxr,Golden Ratio Staking,0.05,27,3366801,0.012649,1.76E+12,osmovaloper16n0t7lmy4wnhjytzkncjdkxrsu9yfjm3ex7hxr,985,1112,1039,0.877767084,
osmovaloper1r7spsjagrmcfv96w5dxtttajvnxczhcpgfk74g,PRO Delegators,0.05,28,3217909,0.01209,1.76E+12,osmovaloper1r7spsjagrmcfv96w5dxtttajvnxczhcpgfk74g,986,1112,1039,0.878729548,
osmovaloper1t8qckan2yrygq7kl9apwhzfalwzgc2429p8f0s,Imperatorco,0.05,29,3192495,0.011994,1.76E+12,osmovaloper1t8qckan2yrygq7kl9apwhzfalwzgc2429p8f0s,985,1090,1029,0.897959184,
