moniker_clean,ABSTAIN,NO_VOTE,YES,NO,NO_WITH_VETO,votingPower,validatorAddress,pca_x,pca_y,cluster
Qwind,0,0.923076923,0.076923077,0,0,0.002712,"['pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30', 'pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30']",-0.785303408,-0.407448183,0
Figment,0,1,0,0,0,0.048246,"['pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat', 'pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat']",-1.581573761,-0.540809611,0
arbiter34 Figure,0,0.659090909,0.340909091,0,0,0.032318,"['pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap', 'pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap']",1.947351666,0.05022399,1
Radix,0.076923077,0.923076923,0,0,0,0.043426,"['pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp', 'pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp']",-1.920611504,3.964822052,2
Treestaker,0,0.630434783,0.369565217,0,0,0.036273,"['pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg', 'pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg']",2.243985977,0.099905075,1
NU2,0.076923077,0.923076923,0,0,0,0.043494,"['pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk', 'pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk']",-1.920611504,3.964822052,2
Blockdaemon,0,0.833333333,0.166666667,0,0,0.052099,"['pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9', 'pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9']",0.14367867,-0.25185985,0
Lakestar Europe Tech Solutions,0,0.909090909,0.090909091,0,0,0.032123,"['pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje', 'pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje']",-0.64052698,-0.38320065,0
Alien,0,0.674418605,0.325581395,0,0,0.012482,"['pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5', 'pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5']",1.788686801,0.023650386,1
Cosmostation,0,0.644444444,0.355555556,0,0,0.042105,"['pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56', 'pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56']",2.098964758,0.075616544,1
