address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,commissions,totalToken
pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9,Blockdaemon,0.6,1,864687682,0.052068,1.77E+12,pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9,4271,4420,4333,0.965612739,1,16606970825
pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq,Figure,0.6,2,810829002,0.048825,1.77E+12,pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq,4280,4436,4347,0.964113182,1,
pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat,Figment,0.6,3,800639356,0.048211,1.77E+12,pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat,4278,4436,4348,0.963661454,1,
pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz,NU,0.6,4,767049302,0.046188,1.77E+12,pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz,4273,4432,4338,0.963347165,1,
pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk,NU2,0.6,5,721836855,0.043466,1.77E+12,pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk,4273,4428,4337,0.96426101,1,
pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp,Radix,0.6,6,719718013,0.043338,1.77E+12,pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp,4273,4431,4337,0.963569288,1,
pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px,Osetra,0.6,7,700351605,0.042172,1.77E+12,pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px,4274,4431,4340,0.963824885,1,
pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56,Cosmostation,0.6,8,699778964,0.042138,1.77E+12,pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56,4277,4437,4347,0.963193007,1,
pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0,MP Validator One,0.6,9,650710610,0.039183,1.77E+12,pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0,4273,4422,4336,0.965636531,1,
pbvaloper1zkqvgkxuhwmlxlgyde2s42ge9kdy0d7d520ukk,Little Resonance,0.6,10,605719770,0.036474,1.77E+12,pbvaloper1zkqvgkxuhwmlxlgyde2s42ge9kdy0d7d520ukk,4276,4427,4342,0.965223399,1,
pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg,Treestaker,0.6,11,601985828,0.036249,1.77E+12,pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg,4281,4437,4349,0.964129685,1,
pbvaloper16xt2xdmunjmye2y2yjrxmc05s7r2yzhtycg3jd,Provenance West,0.6,12,546653141,0.032917,1.77E+12,pbvaloper16xt2xdmunjmye2y2yjrxmc05s7r2yzhtycg3jd,4276,4437,4345,0.962945915,1,
pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap,arbiter34 Figure,0.6,13,536358919,0.032297,1.77E+12,pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap,4280,4436,4347,0.964113182,1,
pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje,Lakestar Europe Tech Solutions,0.6,14,533121504,0.032102,1.77E+12,pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje,4274,4424,4339,0.965429823,1,
pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0,Provenance East,0.6,15,468560888,0.028215,1.77E+12,pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0,4279,4436,4347,0.963883138,1,
pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf,Ping,0.6,16,447672174,0.026957,1.77E+12,pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf,4275,4434,4341,0.963372495,1,
pbvaloper10lkmc6kvym23ykylgzpghalgwnw33w0cq8mu8m,Validator Prime,0.6,17,433213093,0.026086,1.77E+12,pbvaloper10lkmc6kvym23ykylgzpghalgwnw33w0cq8mu8m,4278,4437,4346,0.963414634,1,
pbvaloper1crecuxdshhqzj90ystksv02mmccqtqyhpzq3m8,Validation Cloud,0.6,18,399099814,0.024032,1.77E+12,pbvaloper1crecuxdshhqzj90ystksv02mmccqtqyhpzq3m8,4275,4429,4340,0.964516129,1,
pbvaloper1p33y32wakunngawyh6790cgwamxa44eqg0wrdj,ftprodvalidator,0.6,19,348729079,0.020999,1.77E+12,pbvaloper1p33y32wakunngawyh6790cgwamxa44eqg0wrdj,4275,4430,4341,0.964293941,1,
pbvaloper1wh4yc8q7jpxg5tlh94yafjeza7a6nlmd85jhre,HighStakesch Daily Airdrops,0.6,20,344524897,0.020746,1.77E+12,pbvaloper1wh4yc8q7jpxg5tlh94yafjeza7a6nlmd85jhre,4278,4438,4347,0.963193007,1,
pbvaloper1966q3gqs5gdhcggkg0754rg4qwave3lmsrt3ju,NUVA,0.6,21,280568733,0.016895,1.77E+12,pbvaloper1966q3gqs5gdhcggkg0754rg4qwave3lmsrt3ju,4275,4435,4344,0.963167587,1,
pbvaloper1uglzzcxuttys5a2gcts07c608hu6ujncdcxm2n,Citadelone,0.6,22,250386628,0.015077,1.77E+12,pbvaloper1uglzzcxuttys5a2gcts07c608hu6ujncdcxm2n,4277,4437,4348,0.963201472,1,
pbvaloper10npugxrlpyt9jlqr5ns5z30n5wgaltvylrp4yz,ftprodvalidator2,0.6,23,240674001,0.014492,1.77E+12,pbvaloper10npugxrlpyt9jlqr5ns5z30n5wgaltvylrp4yz,4276,4432,4343,0.964080129,1,
pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5,Alien,0.6,24,207154865,0.012474,1.77E+12,pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5,4274,4434,4341,0.963142133,1,
pbvaloper1s9f4e20xtqrk9tdfhhpavrf26cqjr4eyt3yjqg,DSRV,0.6,25,200012050,0.012044,1.77E+12,pbvaloper1s9f4e20xtqrk9tdfhhpavrf26cqjr4eyt3yjqg,4277,4437,4346,0.963184538,1,
pbvaloper1g0ej8awgp9nhk07ezen0m6gvkfkyp47a4u6qp6,Boba1,0.6,26,171048139,0.0103,1.77E+12,pbvaloper1g0ej8awgp9nhk07ezen0m6gvkfkyp47a4u6qp6,4274,4433.5,4343,0.963274234,1,
pbvaloper1lzgdym2g6vhp2w7298hvmcdv6aatxeajrj694m,Cosmonaut Stakes,0.6,27,140006020,0.008431,1.77E+12,pbvaloper1lzgdym2g6vhp2w7298hvmcdv6aatxeajrj694m,4277,4436,4346,0.963414634,1,
pbvaloper1jjlna8ge2wj9v2xp8ta7xxclgpskjm8uqjkyy4,Blockval Restake,0.6,29,88140150,0.005307,1.77E+12,pbvaloper1jjlna8ge2wj9v2xp8ta7xxclgpskjm8uqjkyy4,4274,4436,4341,0.96268141,1,
pbvaloper1k8jkvp8cd8zxsej2z25up5ylvnxlvp2ep903hk,AutoStake Slash Protected,0.6,30,71357792,0.004297,1.77E+12,pbvaloper1k8jkvp8cd8zxsej2z25up5ylvnxlvp2ep903hk,4273,4430,4340,0.963824885,1,
pbvaloper14ypfvhc77q09pz0j8wt9xkm2css6lqdrejwmss,Inter Blockchain Services,0.6,32,70536904,0.004247,1.77E+12,pbvaloper14ypfvhc77q09pz0j8wt9xkm2css6lqdrejwmss,4273,4436,4344,0.96247698,1,
pbvaloper1x474lw68egdsfuvgvwz0np74rljycnl8ucl5ze,n0okMantiCore,0.6,33,70126519,0.004223,1.77E+12,pbvaloper1x474lw68egdsfuvgvwz0np74rljycnl8ucl5ze,4274,4431,4341,0.963833218,1,
pbvaloper1p99dxczg9qu5x3d0yxc6wdwgz0n3mzsrtt2jsc,Panthea EU,0.6,34,70104231,0.004221,1.77E+12,pbvaloper1p99dxczg9qu5x3d0yxc6wdwgz0n3mzsrtt2jsc,4271,4426,4336,0.964252768,1,
pbvaloper170h0kkjlphjk7qg46qx7uuatfpfpr0nh70kcq4,Synergy Nodes,0.6,35,70052400,0.004218,1.77E+12,pbvaloper170h0kkjlphjk7qg46qx7uuatfpfpr0nh70kcq4,4268,4427,4332,0.963296399,1,
pbvaloper16js8vdt0jk29v6epjes0kcyunqqky8rhjte06j,OtterSync,0.6,36,70051194,0.004218,1.77E+12,pbvaloper16js8vdt0jk29v6epjes0kcyunqqky8rhjte06j,4294,4433,4359,0.968111952,1,
pbvaloper193vx4up30syusen7mtzjjza0nn585gxtvetwe2,Oldcat,0.6,37,70044753,0.004218,1.77E+12,pbvaloper193vx4up30syusen7mtzjjza0nn585gxtvetwe2,4270,4423,4327,0.964640629,1,
pbvaloper1y5xzcdfcn0hdvar6qkcdlaw7gmxelhf6ep77y7,F5 Nodes,0.6,38,70032532,0.004217,1.77E+12,pbvaloper1y5xzcdfcn0hdvar6qkcdlaw7gmxelhf6ep77y7,4263,4426,4330,0.962355658,1,
pbvaloper1d9kksm3ru0dmvz5pa9cadc343hwxmckat98p7q,polkachucom,0.6,39,70025021,0.004217,1.77E+12,pbvaloper1d9kksm3ru0dmvz5pa9cadc343hwxmckat98p7q,4277,4436,4348,0.963431463,1,
pbvaloper1wshqk7hhpf5jh6j2ahjdtd3mxr24ex6qlv9ucw,Prymore,0.6,40,70023968,0.004217,1.77E+12,pbvaloper1wshqk7hhpf5jh6j2ahjdtd3mxr24ex6qlv9ucw,4273,4427,4337,0.964491584,1,
pbvaloper1zafzv9rnjz3nwdg0e0249l7xhlfpqkuxwf4u76,Enigma,0.6,41,70019075,0.004216,1.77E+12,pbvaloper1zafzv9rnjz3nwdg0e0249l7xhlfpqkuxwf4u76,4276,4430,4341,0.964524303,1,
pbvaloper1vclg6sh22dcnr3klslqfux6jpsr4dl5nkwx4zm,STAVR REStake ON,0.6,42,70011613,0.004216,1.77E+12,pbvaloper1vclg6sh22dcnr3klslqfux6jpsr4dl5nkwx4zm,4262,4412,4318,0.965261695,1,
pbvaloper1keywxn3zfnumhepdnf7pcg4sqhc3rzy3jqv06q,AlxVoy ANODETEAM,0.6,43,70011244,0.004216,1.77E+12,pbvaloper1keywxn3zfnumhepdnf7pcg4sqhc3rzy3jqv06q,4248,4396,4299,0.965573389,1,
pbvaloper1hxd75vuud3gddkfpglkzzsvpjwrz9zf05xu4ss,cryptobtcbuyer,0.6,44,70010371,0.004216,1.77E+12,pbvaloper1hxd75vuud3gddkfpglkzzsvpjwrz9zf05xu4ss,4281,4411,4330,0.969976905,1,
pbvaloper1mm2fm2kedkzcextwl3nrr6ltv3xddj04jcdpmy,LiluPunk,0.6,45,70010245,0.004216,1.77E+12,pbvaloper1mm2fm2kedkzcextwl3nrr6ltv3xddj04jcdpmy,4315,4440,4371,0.971402425,1,
pbvaloper1fc9ew6949a8280sxk8gkcmrcknf8dhdsq558e9,PFC Plan For Chaos,0.6,46,70010066,0.004216,1.77E+12,pbvaloper1fc9ew6949a8280sxk8gkcmrcknf8dhdsq558e9,4280,4402,4328,0.97181146,1,
pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx,CGSol,0.6,47,70003070,0.004215,1.77E+12,pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx,4267,4429,4333,0.962612509,1,
pbvaloper1da9r5d6x0cdzwsuh4qyhhspyfsundyqelsplnx,NLZ,0.6,48,70000113,0.004215,1.77E+12,pbvaloper1da9r5d6x0cdzwsuh4qyhhspyfsundyqelsplnx,4276,4431,4346,0.964335021,1,
pbvaloper1cfryzd7y0us6km8jct5zh20uc5uw05u8kx8seu,Blackhox,0.6,49,70000100,0.004215,1.77E+12,pbvaloper1cfryzd7y0us6km8jct5zh20uc5uw05u8kx8seu,4278,4422,4342,0.96683556,1,
pbvaloper17y4e5myg0wnkcxarp92r6ktwuar2tsquyslrvk,Aurie,0.6,50,70000100,0.004215,1.77E+12,pbvaloper17y4e5myg0wnkcxarp92r6ktwuar2tsquyslrvk,4250,4398,4299,0.965573389,1,
pbvaloper1txlejj8kyr5edzezuqa5lsp4gghhxutkwrfaqn,79anvi,0.6,51,70000088,0.004215,1.77E+12,pbvaloper1txlejj8kyr5edzezuqa5lsp4gghhxutkwrfaqn,4280,4416,4336,0.968634686,1,
pbvaloper15fr85l4n63lyzu0t28kwayhwef4s3jyc467pg5,Crosnest,0.6,52,45260600,0.002725,1.77E+12,pbvaloper15fr85l4n63lyzu0t28kwayhwef4s3jyc467pg5,4269,4428,4335,0.963321799,1,
pbvaloper1ruheurmxl8aryhfdnz4xu2fa5hz3empq96xh76,ChainTools,0.6,53,45111306,0.002716,1.77E+12,pbvaloper1ruheurmxl8aryhfdnz4xu2fa5hz3empq96xh76,4272,4432,4339,0.963125144,1,
pbvaloper1h5r78nxxukl0248f0asd37lcf39hy9ps07v5n3,VALIDARIOS,0.6,54,45015064,0.002711,1.77E+12,pbvaloper1h5r78nxxukl0248f0asd37lcf39hy9ps07v5n3,4274,4432,4339,0.96358608,1,
pbvaloper1vfn32am39xduzmdgpzfwrg4td7pqw0kjqr98k5,Chain100,0.6,55,45012449,0.00271,1.77E+12,pbvaloper1vfn32am39xduzmdgpzfwrg4td7pqw0kjqr98k5,4273,4419,4339,0.966351694,1,
pbvaloper19r822ud3e6j7vv4llk569fxlt3778kw7ynlmve,lesnikutsa,0.6,57,45006064,0.00271,1.77E+12,pbvaloper19r822ud3e6j7vv4llk569fxlt3778kw7ynlmve,4292,4779,4397,0.889242665,1,
pbvaloper1watz73wvdpwnrfu0jxs0mgyu4qm5vy7k6xwx4e,BonyNode,0.6,58,45003184,0.00271,1.77E+12,pbvaloper1watz73wvdpwnrfu0jxs0mgyu4qm5vy7k6xwx4e,4269,4421.5,4333,0.964804985,1,
pbvaloper10tj4jfjmjug0vjhqqwtrhr77r7z9r7aqjqqts8,Lapatylin,0.6,59,45003013,0.00271,1.77E+12,pbvaloper10tj4jfjmjug0vjhqqwtrhr77r7z9r7aqjqqts8,4258,4393,4308,0.968662953,1,
pbvaloper1846jqrtvfk0hs5af8dl90l3t2mks573x0eue3f,wombat,0.6,60,45003010,0.00271,1.77E+12,pbvaloper1846jqrtvfk0hs5af8dl90l3t2mks573x0eue3f,4281,4419.5,4346,0.968131615,1,
pbvaloper1wmdwwxp9v4rqtsendgduysq8h88dxuqnnlc6xl,BlockPro,0.6,61,45001882,0.00271,1.77E+12,pbvaloper1wmdwwxp9v4rqtsendgduysq8h88dxuqnnlc6xl,4261,4407,4322,0.966219343,1,
pbvaloper14d5qzxtxcg220f73e93w9ykv3gtsnltqwkxww9,TAKESHI,0.6,62,45001640,0.00271,1.77E+12,pbvaloper14d5qzxtxcg220f73e93w9ykv3gtsnltqwkxww9,4256,4389,4302,0.969084147,1,
pbvaloper1hf69zyvefht4slgwvzm2sn4nn3snvqlh3tkufq,sorare,0.6,63,45001598,0.00271,1.77E+12,pbvaloper1hf69zyvefht4slgwvzm2sn4nn3snvqlh3tkufq,4213,4379,4279,0.961205889,1,
pbvaloper1xacl57txds5q5rcx02xvqg0j80gk0gvqr8f3cs,StingRay,0.6,64,45001215,0.00271,1.77E+12,pbvaloper1xacl57txds5q5rcx02xvqg0j80gk0gvqr8f3cs,4259,4409,4323,0.965301874,1,
pbvaloper1agv890kh8c6vra56y2s6f253z0rjs8qxmxkyxj,JustSmile,0.6,65,45001040,0.00271,1.77E+12,pbvaloper1agv890kh8c6vra56y2s6f253z0rjs8qxmxkyxj,4258,4397,4307,0.967726956,1,
pbvaloper12k2la3gulf6zf98j9hshn23ykjgj2f6jfnsev5,StakeUp,0.6,66,45001003,0.00271,1.77E+12,pbvaloper12k2la3gulf6zf98j9hshn23ykjgj2f6jfnsev5,4294,4415,4343,0.972139074,1,
pbvaloper1npz0s9axvaf68tfl3k2d8th8ylnhvwm57n5g45,Meduza,0.6,67,45001002,0.00271,1.77E+12,pbvaloper1npz0s9axvaf68tfl3k2d8th8ylnhvwm57n5g45,4289,4403,4330,0.973672055,1,
pbvaloper13avh3wnn5mtrlwgqrt78egwdtewru4q8r7lpa9,Smartex,0.6,68,45000860,0.00271,1.77E+12,pbvaloper13avh3wnn5mtrlwgqrt78egwdtewru4q8r7lpa9,4284,4398,4332,0.973684211,1,
pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30,Qwind,0.6,69,45000690,0.00271,1.77E+12,pbvaloper1gs2hj0lxe9fn6fqxlcl2s3hd550ud6e0fsge30,4284,4406,4332,0.971837488,1,
pbvaloper1tv044pxphnqnrrkrzl28v87z2xnv9kpf57rmt6,nodecr,0.6,70,45000683,0.00271,1.77E+12,pbvaloper1tv044pxphnqnrrkrzl28v87z2xnv9kpf57rmt6,4262,4409,4320,0.965972222,1,
pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p,Perfectnodes,0.6,71,45000555,0.00271,1.77E+12,pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p,4262,4386,4303,0.971182896,1,
pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2,ITRocket,0.6,72,45000550,0.00271,1.77E+12,pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2,4266,4387,4308,0.971912721,1,
pbvaloper14palnp77mpx2hg4zdtg8uuwsmjqdfcaszwvgzt,Liqwia,0.6,73,45000506,0.00271,1.77E+12,pbvaloper14palnp77mpx2hg4zdtg8uuwsmjqdfcaszwvgzt,4268,4390,4318,0.971746179,1,
pbvaloper13wh8vdtgsr3za6rrjevp36v5w9j203ptdezjjs,AnyValid,0.6,74,45000500,0.00271,1.77E+12,pbvaloper13wh8vdtgsr3za6rrjevp36v5w9j203ptdezjjs,4255,4389,4300,0.968837209,1,
pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt,salenka,0.6,75,45000250,0.00271,1.77E+12,pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt,4263,4403,4313,0.967539995,1,
pbvaloper1jsy5jzza0pntzzf3nxumzyck4s73ecrcx8q2s6,StakeAngle,0.6,76,45000103,0.00271,1.77E+12,pbvaloper1jsy5jzza0pntzzf3nxumzyck4s73ecrcx8q2s6,4290,4415,4341,0.971204792,1,
pbvaloper1cmxkee08sjay89cgj6n9flahqy8cr44c0lzxdt,GalaryStore,0.6,77,45000101,0.00271,1.77E+12,pbvaloper1cmxkee08sjay89cgj6n9flahqy8cr44c0lzxdt,4246,4377,4289,0.96945675,1,
pbvaloper1ljn3jhmndncpy6s3mxawl9mj64srfgjy5uca9u,MZONDER,0.6,78,45000101,0.00271,1.77E+12,pbvaloper1ljn3jhmndncpy6s3mxawl9mj64srfgjy5uca9u,4258,4385,4300,0.970465116,1,
pbvaloper1d9atcm5vyf8m3y7rypqscxmwgsvm3patj3exga,SerGo,0.6,79,45000100,0.00271,1.77E+12,pbvaloper1d9atcm5vyf8m3y7rypqscxmwgsvm3patj3exga,4273,4387,4315,0.973580533,1,
pbvaloper1hcjtf0jmpdu9vq6hp2eqvcxntdhjyqua895ypx,Endorphine Stake,0.6,80,45000050,0.00271,1.77E+12,pbvaloper1hcjtf0jmpdu9vq6hp2eqvcxntdhjyqua895ypx,4252,4393.5,4309,0.967161754,1,
pbvaloper1efdgtk6lms20ds4qfn2rt4lpzqnht3v3lx45dl,medium,0.6,81,45000050,0.00271,1.77E+12,pbvaloper1efdgtk6lms20ds4qfn2rt4lpzqnht3v3lx45dl,4254,4380,4304,0.970724907,1,
pbvaloper1skml77jpnrfhnnqesnu3upr7lfqn8cz4gqsvtz,BTCDigit,0.6,82,45000049,0.00271,1.77E+12,pbvaloper1skml77jpnrfhnnqesnu3upr7lfqn8cz4gqsvtz,4270,4410,4328,0.967652495,1,
pbvaloper17z0qwj52gl35xel7pxyrul864544t0075ln2kp,skyerdeka,0.6,83,45000047,0.00271,1.77E+12,pbvaloper17z0qwj52gl35xel7pxyrul864544t0075ln2kp,4263,4410,4324,0.9660037,1,
pbvaloper1pxedrjyqdkvmhnm4kvmqeref53pwc5np445xc3,LADA,0.6,84,45000009,0.00271,1.77E+12,pbvaloper1pxedrjyqdkvmhnm4kvmqeref53pwc5np445xc3,4264,4400,4315,0.968482039,1,
pbvaloper1xnjupruwluzml987cljf225hyxfnzt6lnmacgv,Consensus One,0.6,85,43107864,0.002596,1.77E+12,pbvaloper1xnjupruwluzml987cljf225hyxfnzt6lnmacgv,4272,4431,4336,0.963330258,1,
pbvaloper1z3zcwxwj7kn9ql6dg693m9uzrtl0aragvq0sgm,Wave,0.6,86,25152914,0.001515,1.77E+12,pbvaloper1z3zcwxwj7kn9ql6dg693m9uzrtl0aragvq0sgm,4272,4435,4344,0.96247698,1,
pbvaloper1pywenrwq5mxg0k24nk5v4zty5n45c8pf935sac,SoloNationio,0.6,91,287209,0.000017,1.77E+12,pbvaloper1pywenrwq5mxg0k24nk5v4zty5n45c8pf935sac,4275,4408,4376,0.969606947,1,
pbvaloper1w0ae648mwvcdeecxtx9u55546fq5afwkc3nkfc,Kleomedes,0.6,92,128500,0.000008,1.77E+12,pbvaloper1w0ae648mwvcdeecxtx9u55546fq5afwkc3nkfc,4322,4503,4424,0.959086799,1,
pbvaloper1yaxge3mcytcwzw0ar38rtq3usw3anh84znkz0q,vicvc,0.6,93,101000,0.000006,1.77E+12,pbvaloper1yaxge3mcytcwzw0ar38rtq3usw3anh84znkz0q,4302,4426,4379.5,0.971686266,1,
pbvaloper1s06vkeynwzh45jvw7qn80kdv5d3g3v6njzxa5a,Nexus,0.6,94,93584,0.000006,1.77E+12,pbvaloper1s06vkeynwzh45jvw7qn80kdv5d3g3v6njzxa5a,4290,4475.5,4400.5,0.957845699,1,
pbvaloper1wsdvrd8vpcuczgvlvtfcy5prgnzt27rs64gzy7,Mav3rick BeeHive,0.6,95,89634,0.000005,1.77E+12,pbvaloper1wsdvrd8vpcuczgvlvtfcy5prgnzt27rs64gzy7,4278,4360.5,4333,0.980960074,1,
pbvaloper15v2na8dg4mhx42h47xv6yhxkvwqv694arjjkut,proveLabs,0.6,96,87235,0.000005,1.77E+12,pbvaloper15v2na8dg4mhx42h47xv6yhxkvwqv694arjjkut,4270,4345,4324,0.982654949,1,
pbvaloper1gja898y0xpkdpan8hu5autjpw85f97lddmw0zw,Whale,0.6,97,86968,0.000005,1.77E+12,pbvaloper1gja898y0xpkdpan8hu5autjpw85f97lddmw0zw,4215,4462,4264,0.942073171,1,
pbvaloper1hg6sfwhkw00uefy6qyqvd99w40364uf5ecspwx,moonbeam,0.6,98,86500,0.000005,1.77E+12,pbvaloper1hg6sfwhkw00uefy6qyqvd99w40364uf5ecspwx,4225,4331,4272,0.975187266,1,
pbvaloper1rj73tc5usweknrncvryrl7ez8nycjsqzcz4ca8,ZL4T4,0.6,99,85692,0.000005,1.77E+12,pbvaloper1rj73tc5usweknrncvryrl7ez8nycjsqzcz4ca8,4246,4394,4298,0.965565379,1,
pbvaloper10cl8pg7ezlcm5vgzhhh7ttsd0yfc6h7r5jmnly,LittleRoger,0.6,100,83352,0.000005,1.77E+12,pbvaloper10cl8pg7ezlcm5vgzhhh7ttsd0yfc6h7r5jmnly,4375.5,4446,4419.5,0.984047969,1,
pbvaloper13p9qyn9lhgq2vv084ddggyydcl7tyvk3y3lnuj,Quorix,0.6,101,82688,0.000005,1.77E+12,pbvaloper13p9qyn9lhgq2vv084ddggyydcl7tyvk3y3lnuj,4212,4331,4262.5,0.972082111,1,
