moniker_clean,ABSTAIN,NO,NO_VOTE,NO_WITH_VETO,YES,votingPower,validatorAddress,pca_x,pca_y,cluster
Community Node,0,0,0.666666667,0,0.333333333,0.131561,"['shentuvaloper19v90q02edxksq4pk9mrha7ss7gjc4g7f876eaq', 'shentuvaloper19v90q02edxksq4pk9mrha7ss7gjc4g7f876eaq', 'shentuvaloper19v90q02edxksq4pk9mrha7ss7gjc4g7f876eaq', 'shentuvaloper19v90q02edxksq4pk9mrha7ss7gjc4g7f876eaq', 'shentuvaloper19v90q02edxksq4pk9mrha7ss7gjc4g7f876eaq', 'shentuvaloper19v90q02edxksq4pk9mrha7ss7gjc4g7f876eaq']",0.257632528,-0.526184859,0
Binance Node,0,0,1,0,0,0.087517,"['shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky', 'shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky']",-1.570695091,0.583769789,1
Cosmostation,0.019230769,0.019230769,0.461538462,0,0.5,0.067813,"['shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf', 'shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf']",2.233912503,-0.299366325,0
CertiK,0,0,0.833333333,0,0.166666667,0.067386,"['shentuvaloper1yv5eqqjvsgpens6tfd8r9evtrcg8vhn5ta425m', 'shentuvaloper1yv5eqqjvsgpens6tfd8r9evtrcg8vhn5ta425m', 'shentuvaloper1yv5eqqjvsgpens6tfd8r9evtrcg8vhn5ta425m', 'shentuvaloper1yv5eqqjvsgpens6tfd8r9evtrcg8vhn5ta425m', 'shentuvaloper1yv5eqqjvsgpens6tfd8r9evtrcg8vhn5ta425m', 'shentuvaloper1yv5eqqjvsgpens6tfd8r9evtrcg8vhn5ta425m']",-0.656531282,0.028792465,1
StakeLabzone,0,0,0.833333333,0,0.166666667,0.034224,"['shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02', 'shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02']",-0.656531282,0.028792465,1
AtlasNode,0,0,0.666666667,0,0.333333333,0.029384,"['shentuvaloper1velh4j0yn0kwtytv4xfpeh4x76afadkvx274zu', 'shentuvaloper1velh4j0yn0kwtytv4xfpeh4x76afadkvx274zu', 'shentuvaloper1velh4j0yn0kwtytv4xfpeh4x76afadkvx274zu', 'shentuvaloper1velh4j0yn0kwtytv4xfpeh4x76afadkvx274zu', 'shentuvaloper1velh4j0yn0kwtytv4xfpeh4x76afadkvx274zu', 'shentuvaloper1velh4j0yn0kwtytv4xfpeh4x76afadkvx274zu']",0.257632528,-0.526184859,0
Ankr,0,0,0.666666667,0,0.333333333,0.022141,"['shentuvaloper1tx2eqa5j3q8w6lwpsg2mam8w5f80vjqn535l3d', 'shentuvaloper1tx2eqa5j3q8w6lwpsg2mam8w5f80vjqn535l3d', 'shentuvaloper1tx2eqa5j3q8w6lwpsg2mam8w5f80vjqn535l3d', 'shentuvaloper1tx2eqa5j3q8w6lwpsg2mam8w5f80vjqn535l3d', 'shentuvaloper1tx2eqa5j3q8w6lwpsg2mam8w5f80vjqn535l3d', 'shentuvaloper1tx2eqa5j3q8w6lwpsg2mam8w5f80vjqn535l3d']",0.257632528,-0.526184859,0
Nansen Stake to Stack Points,0.019607843,0.019607843,0.529411765,0,0.431372549,0.03312,"['shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z', 'shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z']",1.878317918,-0.05551692,0
DSRV,0,0,0.658536585,0,0.341463415,0.023917,"['shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g', 'shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g']",0.302225885,-0.553256924,0
Allnodes 0 fee,0.019230769,0,0.480769231,0,0.5,0.023417,"['shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c', 'shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c']",1.433921743,-1.232276789,0
