address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,commissions,totalToken
shentuvaloper19v90q02edxksq4pk9mrha7ss7gjc4g7f876eaq,Community Node,1,1,5943173,0.131235,1.77E+12,shentuvaloper19v90q02edxksq4pk9mrha7ss7gjc4g7f876eaq,5728,5836,5775.5,0.98130032,1,45286676
shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky,Binance Node,0.03,2,3932823,0.086843,1.77E+12,shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky,5712,5821,5755,0.981059948,105,
shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf,Cosmostation,0.09,3,3073637,0.067871,1.77E+12,shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf,5717,5825,5763,0.981259761,89,
shentuvaloper1yv5eqqjvsgpens6tfd8r9evtrcg8vhn5ta425m,CertiK,0.2,4,3044069,0.067218,1.77E+12,shentuvaloper1yv5eqqjvsgpens6tfd8r9evtrcg8vhn5ta425m,5715,5821,5758,0.98159083,4,
shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02,StakeLabzone,0.05,5,1541410,0.034037,1.77E+12,shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02,5723,5825,5767.5,0.982314694,94,
shentuvaloper1velh4j0yn0kwtytv4xfpeh4x76afadkvx274zu,AtlasNode,0.2,6,1327373,0.02931,1.77E+12,shentuvaloper1velh4j0yn0kwtytv4xfpeh4x76afadkvx274zu,5719,5824,5763,0.981780323,4,
shentuvaloper1tx2eqa5j3q8w6lwpsg2mam8w5f80vjqn535l3d,Ankr,0.1,7,1200182,0.026502,1.77E+12,shentuvaloper1tx2eqa5j3q8w6lwpsg2mam8w5f80vjqn535l3d,5718,5821,5762,0.982124262,71,
shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z,Nansen Stake to Stack Points,0.1,8,1139569,0.025163,1.77E+12,shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z,5717,5811,5758,0.983674887,71,
shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g,DSRV,0.1,9,1080425,0.023857,1.77E+12,shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g,5719,5818,5762,0.982818466,71,
shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c,Allnodes 0 fee,0,10,1027560,0.02269,1.77E+12,shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c,5717,5817,5760,0.982638889,111,
