address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,commissions,totalToken
terravaloper120ppepaj2lh5vreadx42wnjjznh55vvktp78wk,Allnodes,0.05,1,28871771,0.081312,1.76602E+12,terravaloper120ppepaj2lh5vreadx42wnjjznh55vvktp78wk,5785,5980,5863,0.966740576,91,355071914
terravaloper1f6wuq93320s6w7vvnkc0576g9mtqfmz9a8wqxk,DELIGHT,0.05,2,23065554,0.06496,1.76602E+12,terravaloper1f6wuq93320s6w7vvnkc0576g9mtqfmz9a8wqxk,5790,5963,5862,0.970487888,91,
terravaloper188e99yz54744uhr8xjfxmmplhnuw75xea55zfp,Smart Stake,0.05,3,22110293,0.062269,1.76602E+12,terravaloper188e99yz54744uhr8xjfxmmplhnuw75xea55zfp,5794,5971,5877,0.969882593,91,
terravaloper1gdvfugy7vt9vk8evntwe54knsqyncmpjzyhljt,KuCoin LUNA Node,0.05,4,11940502,0.033628,1.76602E+12,terravaloper1gdvfugy7vt9vk8evntwe54knsqyncmpjzyhljt,5794,5953,5869,0.972908502,91,
terravaloper19kg9ncvkuk08pxz0rnnywh65h5tvux9mlj7tc3,LUNAStaker,0.05,5,10975809,0.030911,1.76602E+12,terravaloper19kg9ncvkuk08pxz0rnnywh65h5tvux9mlj7tc3,5794,5952,5869,0.973078889,91,
terravaloper1pet430t7ykswxuyhh56d4gk6rt7qgu9as6a5r0,The Lion DAO,0.075,6,10033486,0.028257,1.76602E+12,terravaloper1pet430t7ykswxuyhh56d4gk6rt7qgu9as6a5r0,5801,5973,5876,0.970728387,89,
terravaloper1lelhxdzwn9ddecv6sv0kcxj5tguurxnzcfs5wf,Orbital Command,0.1,7,10001904,0.028168,1.76602E+12,terravaloper1lelhxdzwn9ddecv6sv0kcxj5tguurxnzcfs5wf,5799,5972,5876,0.970558203,43,
terravaloper16vc0num5aaq4mqdh4vjhs02s3ypd0j8c7ujxpm,Stakelyio,0.05,8,9742264,0.027437,1.76602E+12,terravaloper16vc0num5aaq4mqdh4vjhs02s3ypd0j8c7ujxpm,5797,5973,5876,0.970047651,91,
terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh,polkachucom,0.05,9,9285669,0.026151,1.76602E+12,terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh,5802,5971,5878,0.971248724,91,
terravaloper1564j3fq8p8np4yhh4lytnftz33japc03wn40kg,Cosmostation,0.05,10,9002031,0.025352,1.76602E+12,terravaloper1564j3fq8p8np4yhh4lytnftz33japc03wn40kg,5791,5967,5870,0.970017036,91,
