validatorAddress,q1,q3,median,min,max,avg,totalCount,q1_7,q3_7,median_7,min_7,max_7,avg_7,totalCount_7,q1_30,q3_30,median_30,min_30,max_30,avg_30,totalCount_30,q1_90,q3_90,median_90,min_90,max_90,avg_90,totalCount_90
osmovaloper1r7spsjagrmcfv96w5dxtttajvnxczhcpgfk74g,986,1112,1039,810,4096,1195.6550346410506,70581,890,1057,968,783,4833,1205.7286505867014,6136,908,1061,988,792,4737,1173.4084433699088,26885,986,1112,1039,810,4096,1195.6550346410506,70581
osmovaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcmmarz7,992,1114,1043,813,4093,1195.9437509206068,54312,896,1064,976,787,4815,1198.253507260645,4063,911,1067,992,792,4734,1170.8941388539902,18307,992,1114,1043,813,4093,1195.9437509206068,54312
osmovaloper15urq2dtp9qce4fyc85m6upwm9xul3049wh9czc,995,1115,1045,813,4055,1191.1480741676608,141679,890,1057,966,787,4792,1186.4309392265193,9955,906,1062,987,791,4681,1160.4688139757063,43962,995,1115,1045,813,4055,1191.1480741676608,141679
osmovaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep88n0y4,991,1123,1044,809,4085,1203.36840845285,459490,886,1074,979,786,4812,1206.8432527052832,37704,902,1074,996,790,4703,1183.0960344555274,164618,991,1123,1044,809,4085,1203.36840845285,459490
osmovaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxwmj9we,980,1104,1033,806,4083,1181.0346798314376,89937,891,1058,970,786,4829,1192.1937209302325,8600,906,1061,988,791,4684,1158.8943570575716,38526,980,1104,1033,806,4083,1181.0346798314376,89937
osmovaloper1xf9zpq5kpxks49cg606tzd8qstaykxgt2vs0d5,998,1119,1048,810,4416,1200.5564300066978,23888,888,1054,967,777,4992,1173.469951923077,1664,910,1066,992,792,4981,1174.4687840785168,7336,998,1119,1048,810,4416,1200.5564300066978,23888
osmovaloper1glmy88g0uf6vmw29pyxu3yq0pxpjqtzqr5e57n,988,1113,1041,810,4117,1194.0521829686563,88343,893,1063,976,789,4848,1195.3796724590575,7999,908,1063,988,792,4740,1170.4924960869164,32583,988,1113,1041,810,4117,1194.0521829686563,88343
osmovaloper12rzd5qr2wmpseypvkjl0spusts0eruw2g35lkn,987,1111,1039,812,4099,1188.51035626626,149523,890,1060,966,789,4761,1178.8352806601847,12239,905,1061,984,793,4679,1159.7161624957407,52826,987,1111,1039,812,4099,1188.51035626626,149523
osmovaloper1gy0nyn2hscxxayj2pdyu8axmfvv75nnvhc079s,988,1112,1041,811,4085,1189.5119783616692,56936,895,1062,972,788,4798,1204.4744830202997,5271,908,1059,989,794,4704,1165.4775770058984,21362,988,1112,1041,811,4085,1189.5119783616692,56936
osmovaloper1e20nfplac6cp5mga25a3ujvcgly3mfu73e6scn,989,1114,1041,812,4059,1189.1415390802285,174065,899,1061,972,788,4684,1179.2749448830098,14061,910,1062,986,792,4663,1159.8081002892961,61183,989,1114,1041,812,4059,1189.1415390802285,174065
osmovaloper1n56swda49evz92zhcw2xc8esx6kzt8qm62hkep,987,1113,1038,808,4537,1200.2215912842523,15145,892.5,1062,972,785,5087,1189.3139448173006,1341,911,1064,990,791,5030,1172.0855436500965,5693,987,1113,1038,808,4537,1200.2215912842523,15145
